Div,Ticker
4.7016,HOCFF
4.7,AILIM
4.64,COST
4.64,LHX
4.618007,SHKLY
4.6,LII
4.6,LOW
4.6,RHP
4.6,PSX
4.6,LCII
4.59,TPL
4.58,PNMXO
4.56433,TDPAY
4.56,UEPEP
4.5597,KRKKF
4.52,HON
4.5,CMS-B
4.5,CTA-B
4.5,GAM
4.5,UEPEO
4.48,TGT
4.4608,DITTF
4.4599,AMDUF
4.4528,EFGSF
4.4481,SHLAF
4.4481,SHLRF
4.44,MSSEL
4.436968,BMO
4.42,AILIN
4.4124,GMWKF
4.4,DKS
4.4,TSCO
4.4,RS
4.4,FRT
4.4,DKL
4.395969,BHKLY
4.3757,UZAPF
4.375,CMBNF
4.36,MSI
4.35,RIO
4.3417,WNDLF
4.32,SJM
4.3000002,UEPCP
4.28,VLO
4.2728,FCODF
4.27,PLDGP
4.268105,MQBKY
4.2600004,AILIO
4.2577,ESLOF
4.2533,PSPSF
4.25,AILLO
4.25,MAA-I
4.25,NSARP
4.24,PRK
4.2,TRV
4.2,AILIP
4.1875,SPG-J
4.18,DUK
4.1726,SIXGF
4.166246,WILWY
4.1623,TLPFF
4.161831,ASHTY
4.16,BDX
4.16,INTU
4.16,OMF
4.16,FDS
4.154,HKTGF
4.1392,DEO
4.1268,DBOEF
4.12,CPT
4.12,PEO
4.115272,FMX
4.115,MAIN
4.1141,SULZF
4.0998,AEOXF
4.0986,AEDFF
4.08,DTE
4.08,MO
4.08,AILIH
4.076,CALM
4.066,SIEVF
4.0648352,RY
4.0591,SNYNF
4.056,NXPI
4.04,STZ
4.026,PG
4.01457,XTEPY
4.0115,MONSF
4,CSL
4,GPC
4,AILLP
4,CNSWF
4,COKE
4,DMFG
4,DMRRP
4,INPAP
4,NVEC
4,UEPEM
3.992,CWPS
3.98314,DMLP
3.98,CCOI
3.9788,SGFEF
3.96,XOM
3.96,OKE
3.96,EMO
3.96,FBIP
3.9533,CABJF
3.9266,TOELF
3.92,PAYX
3.92,BXP
3.92,SBAC
3.9,BKE
3.9,EOG
3.9,NMKCP
3.867012,SHZNY
3.84,PLD
3.839,ALRHF
3.826,MPLX
3.8041,ARKAF
3.8,CFR
3.8,LANC
3.8,KEN
3.789236,ARKAY
3.786448,BYDIY
3.7839,SBGSF
3.76,BBY
3.76,ETN
3.76,CNA
3.76,SUI
3.7544,BIJBF
3.7543,NVSEF
3.75,HWM.P
3.75,HWM.PR
3.7395445,NVS
3.72,AEP
3.72,ARES
3.7193,BKWAF
3.700000048,UELMO
3.7,MS
3.6877,AVHNF
3.6843,CAPMF
3.68,ALL
3.68,ADI
3.67,NEP
3.6607,OEZVF
3.66036,ECAT
3.66,DUAVF
3.64,SPGI
3.64,CB
3.64,MPC
3.6383,SFNXF
3.633,BFFAF
3.625,ALB-A
3.625,KIM-N
3.62,APAM
3.6,PRI
3.6,NHI
3.6,PIPR
3.6,NMKBP
3.6,SAFT
3.6,WELPP
3.5814,ARLLF
3.58,PNW
3.56,RGA
3.54,HUM
3.54,RTNTF
3.54,RTPPF
3.5275,SGSOF
3.5218,SFFFF
3.52,TMUS
3.52,COP
3.52,WTW
3.52,BR
3.52,AVY
3.52,WDFC
